Nombre;Apellido;DNI;Categoria
Agustina;Paz;34651013;Plata
María;López;45583623;
Martina;Acosta;24962862;Plata
Axel;Giménez;49510921;
Isidora;Nieto;28532745;Plata
Milagros;Ferreyra;36033044;
Emma;Correa;52418089;Oro
Catalina;Agüero;25597994;Plata
Abril;Rojas;47786030;
Bautista;Carrizo;59793455;Plata
Tadeo;Agüero;53621811;
Bruno;Rojas;56885813;Oro
Franco;Molina;50697272;
Axel;Ibarra;41973817;Oro
Simón;Cruz;59000893;Plata
Zoe;Agüero;22482497;
Iván;Ojeda;31567425;
Mía;Castillo;24319044;
Malena;Ayala;31185993;Oro
Nicolás;Cruz;43520079;Plata
Damián;Pereyra;25352784;
Aitana;Castillo;59225682;Plata
Thiago;Luna;49185880;Plata
Bruno;Ibarra;50245209;Platino
Nazarena;Campos;37517913;Oro
Emma;Giménez;27802204;
Elena;Cruz;50391650;
Benjamín;Nieto;30811746;Plata
Lautaro;Leiva;51013733;Oro
Gonzalo;Giménez;25775210;
Iván;Rojas;21830252;Plata
Thiago;Navarro;30865007;Plata
Bruno;Ayala;40447090;Plata
Nazarena;Villalba;45225588;
Tadeo;Carrizo;21836410;
Elena;Campos;42434179;
Renzo;Leiva;22035080;
Ulises;Ayala;51175560;Plata
Gonzalo;Luna;44846218;
Zoe;Ayala;47959178;Plata
Ariana;Ponce;38736528;Oro
Benjamín;Villalba;45894801;Plata
Renzo;Vera;38818451;
Ariana;Sosa;24821913;Platino
Mía;Ayala;42955929;Oro
Iván;Peralta;52974234;Oro
Axel;Navarro;43704478;Oro
Malena;Peralta;28913826;Plata
Matías;Correa;38018730;Oro
Axel;Ferreyra;50047661;Plata
Bruno;Navarro;48718511;Plata
Nazarena;Cardozo;53223089;Oro
Ulises;Rojas;32413875;Plata
Simón;Leiva;22481080;Plata
Gael;Peralta;33783997;Oro
Alejo;Villalba;54686915;
Damián;Ledesma;24954051;Oro
Nicolás;Carrizo;40672453;Oro
Bianca;Peralta;38674120;
Cecilia;Ledesma;22207697;Plata
Violeta;Gallardo;24836823;Oro
Simón;Carrizo;35527385;Plata
Catalina;Ojeda;31581404;Plata
Franco;Ledesma;36733669;Plata
Alejo;Cruz;33430246;Oro
Franco;Ojeda;34338025;Plata
Iván;Sosa;45645551;Platino
Tobías;Cruz;43477743;Platino
Zoe;Gallardo;23331568;
Renzo;Cardozo;52530933;Plata
Elena;Navarro;45377276;Oro
Renzo;Correa;45438723;Plata
Iván;Molina;57996036;
Abril;Giménez;52801797;
Isidora;Agüero;46315787;Oro
Malena;Vera;45515022;Plata
Matías;Molina;46672665;Platino
Juliana;Castillo;54681884;Plata
